feature,mean_abs_shap,model_version,horizon
pm2_5,10.616625380441857,20260811T123711Z,day1
pm10,10.203921049813921,20260811T123711Z,day1
carbon_monoxide,2.0356470384435794,20260811T123711Z,day1
month,1.9968006157497045,20260811T123711Z,day1
day_of_week,1.510630566325475,20260811T123711Z,day1
aqi_lag1,1.4024493364152073,20260811T123711Z,day1
day,1.323359172923075,20260811T123711Z,day1
sulphur_dioxide,1.172265691140491,20260811T123711Z,day1
nitrogen_dioxide,1.1141266679170092,20260811T123711Z,day1
ozone,0.781278726951653,20260811T123711Z,day1
aqi_lag3,0.6951031412555034,20260811T123711Z,day1
aqi_rolling_mean,0.5533850506679588,20260811T123711Z,day1
aqi_lag2,0.5318298683628915,20260811T123711Z,day1
hour,0.0,20260811T123711Z,day1
