date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,55.23684210526316,37.49473684210526,724.5263157894736,36.689473684210526,13.668421052631578,97.63157894736842,1.0594736842105263,5.157894736842105,1.0789473684210527,,
2022-08-05,59.895833333333336,40.59583333333333,625.7916666666666,28.537499999999998,15.375,78.79166666666667,0.9658333333333333,6.083333333333333,1.0958333333333334,113.05263157894737,72.63157894736842
2022-08-06,63.0,44.041666666666664,1144.0416666666667,39.416666666666664,15.320833333333333,80.08333333333333,0.39666666666666667,0.6666666666666666,1.6333333333333335,109.91666666666667,70.75
2022-08-07,83.16666666666667,57.36666666666667,1437.7916666666667,55.4125,19.508333333333333,89.83333333333333,0.8295833333333333,3.625,1.3812499999999999,150.625,86.58333333333333
2022-08-08,69.79583333333333,46.875,1091.125,39.670833333333334,16.370833333333334,88.375,0.7754166666666666,8.541666666666666,1.7125000000000001,130.20833333333334,76.33333333333333
2022-08-09,88.175,61.11666666666667,1624.9166666666667,57.0875,22.995833333333334,92.95833333333333,0.4920833333333334,2.1666666666666665,2.097916666666667,155.20833333333334,87.75
2022-08-10,97.04583333333333,67.5625,1522.5,66.175,25.879166666666666,92.41666666666667,0.5158333333333334,1.125,1.96875,158.16666666666666,91.25
2022-08-11,57.96666666666667,40.141666666666666,898.625,45.3125,14.333333333333334,44.25,0.5804166666666667,1.75,0.8895833333333334,147.08333333333334,85.58333333333333
2022-08-12,41.5375,28.900000000000002,806.25,36.145833333333336,14.129166666666668,58.208333333333336,0.13708333333333333,0.75,2.5437499999999997,82.58333333333333,60.625
2022-08-13,72.08333333333333,49.94583333333333,1311.5,55.36666666666667,22.1125,75.70833333333333,0.26333333333333336,1.875,2.3541666666666665,122.875,74.20833333333333
