pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,year,month,day,day_of_week,aqi_lag1,aqi_lag2,aqi_lag3,aqi_rolling_mean,day1_target,day2_target,day3_target
69.79583333333333,46.875,1091.125,39.67083333333333,16.370833333333334,88.375,0.7754166666666666,8.541666666666666,1.7125,2022,8,8,0,150.625,109.91666666666669,113.05263157894736,130.25,155.20833333333334,158.16666666666666,147.08333333333334
88.175,61.11666666666667,1624.9166666666667,57.0875,22.995833333333334,92.95833333333331,0.4920833333333334,2.1666666666666665,2.097916666666667,2022,8,9,1,130.20833333333334,150.625,109.91666666666669,145.34722222222223,158.16666666666666,147.08333333333334,82.58333333333333
97.04583333333332,67.5625,1522.5,66.175,25.879166666666663,92.41666666666669,0.5158333333333334,1.125,1.96875,2022,8,10,2,155.20833333333334,130.20833333333334,150.625,147.86111111111111,147.08333333333334,82.58333333333333,122.875
57.96666666666667,40.141666666666666,898.625,45.3125,14.333333333333334,44.25,0.5804166666666667,1.75,0.8895833333333334,2022,8,11,3,158.16666666666666,155.20833333333334,130.20833333333334,153.48611111111111,82.58333333333333,122.875,137.41666666666666
41.5375,28.9,806.25,36.145833333333336,14.129166666666668,58.208333333333336,0.1370833333333333,0.75,2.54375,2022,8,12,4,147.08333333333334,158.16666666666666,155.20833333333334,129.27777777777777,122.875,137.41666666666666,99.625
72.08333333333333,49.94583333333333,1311.5,55.36666666666667,22.1125,75.70833333333333,0.2633333333333333,1.875,2.3541666666666665,2022,8,13,5,82.58333333333333,147.08333333333334,158.16666666666666,117.5138888888889,137.41666666666666,99.625,100.58333333333331
63.97083333333333,42.1875,728.75,33.475,18.554166666666667,101.20833333333331,0.60875,10.833333333333334,1.8083333333333331,2022,8,14,6,122.875,82.58333333333333,147.08333333333334,114.29166666666667,99.625,100.58333333333331,104.83333333333331
46.17083333333333,31.245833333333334,593.4583333333334,28.02083333333333,13.645833333333334,66.16666666666667,0.52625,4.416666666666667,0.9333333333333332,2022,8,15,0,137.41666666666666,122.875,82.58333333333333,119.97222222222221,100.58333333333331,104.83333333333331,91.58333333333331
60.270833333333336,41.73333333333333,1016.625,41.90833333333333,15.945833333333333,61.625,0.2579166666666667,1.5416666666666667,1.725,2022,8,16,1,99.625,137.41666666666666,122.875,112.54166666666667,104.83333333333331,91.58333333333331,111.04166666666669
46.01666666666667,28.84583333333333,518.25,26.579166666666666,11.766666666666666,64.29166666666667,0.3141666666666666,14.375,1.7666666666666666,2022,8,17,2,100.58333333333331,99.625,137.41666666666666,101.68055555555554,91.58333333333331,111.04166666666669,130.08333333333334
58.4125,38.391666666666666,854.375,34.15,17.729166666666668,74.54166666666667,0.3270833333333333,10.0,2.029166666666667,2022,8,18,3,104.83333333333331,100.58333333333331,99.625,98.99999999999996,111.04166666666669,130.08333333333334,115.25
60.6625,39.40416666666666,1296.875,42.9625,20.9625,57.25,0.3625,12.916666666666666,1.477083333333333,2022,8,19,4,91.58333333333331,104.83333333333331,100.58333333333331,102.48611111111109,130.08333333333334,115.25,160.0
70.2375,44.5125,1275.2083333333333,47.18333333333334,20.304166666666667,82.04166666666667,0.5620833333333334,17.75,1.5458333333333334,2022,8,20,5,111.04166666666669,91.58333333333331,104.83333333333331,110.90277777777777,115.25,160.0,155.16666666666666
